time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
1.044294118,-0.001278291,0.006111684,-0.003185794,0.016801928,0.016801928
1.044705882,-0.011284651,-0.006396221,-0.001309594,0.003668575,0.003668575
1.045117647,-0.015037011,-0.011086721,0.000566606,-0.020409162,-0.020409162
1.045529412,-0.005030691,-0.007959721,0.000566606,-0.013842532,-0.013842532
1.045941176,-0.003779891,-0.001705771,0.009947552,0.005857463,0.005857463
1.046352941,-0.013786251,-0.001705771,0.011823746,0.010235235,0.010235235
1.046764706,-0.017538611,0.002984704,0.004318986,0.001479691,0.001479691
1.047176471,-2.75E-05,0.018619629,-0.008814334,-0.024786962,-0.024786962
1.047588235,0.014981993,0.007675179,-0.010690534,-0.031353592,-0.031353592
1.048,0.017483589,-0.001705771,-0.005061934,-0.018220262,-0.018220262
1.048411765,0.021235949,-0.006396221,-0.008814334,0.005857463,0.005857463
1.048823529,0.016232789,-0.001705771,-0.018195274,0.021179658,0.021179658
1.049235294,0.021235949,0.002984704,-0.023823874,0.036501888,0.036501888
1.049647059,0.009978825,0.004548194,-0.020071474,0.023368558,0.023368558
1.050058824,0.001223269,-0.006396221,-0.020071474,0.003668575,0.003668575
1.050470588,-0.008783051,-0.007959721,-0.008814334,-0.009464732,-0.009464732
1.050882353,-0.012535451,-0.015777171,-0.005061934,-0.007275832,-0.007275832
1.051294118,-0.012535451,-0.014213671,-0.012566734,0.010235235,0.010235235
1.051705882,0.004975669,-0.004832771,-0.005061934,0.021179658,0.021179658
1.052117647,0.008728029,0.015492629,0.006195176,0.012424128,0.012424128
1.052529412,0.011229616,0.018619629,0.0024428,-0.000709202,-0.000709202
1.052941176,0.014981993,0.013929129,-0.001309594,0.001479691,0.001479691
1.053352941,0.003724869,0.001421212,0.0024428,0.010235235,0.010235235
1.053764706,-0.003779891,-0.007959721,-0.006938134,0.023368558,0.023368558
1.054176471,-0.006281491,-0.007959721,-0.018195274,0.023368558,0.023368558
1.054588235,0.006226429,0.007675179,-0.014442874,0.021179658,0.021179658
1.055,0.018734389,0.021746579,-0.005061934,0.005857463,0.005857463
1.055411765,0.008728029,0.026437079,-0.006938134,0.010235235,0.010235235
1.055823529,-0.011284651,0.010802179,-0.016319074,0.027746358,0.027746358
1.056235294,-0.015037011,-0.001705771,-0.020071474,0.023368558,0.023368558
1.056647059,-0.006281491,-0.006396221,-0.008814334,0.014613028,0.014613028
1.057058824,0.002474069,0.002984704,0.008071364,0.010235235,0.010235235
1.057470588,0.006226429,-0.004832771,0.011823746,0.003668575,0.003668575
1.057882353,0.004975669,-0.020467671,0.000566606,-0.007275832,-0.007275832
1.058294118,-0.001278291,-0.020467671,-0.005061934,-0.018220262,-0.018220262
1.058705882,0.001223269,-0.003269271,-0.003185794,-0.011653632,-0.011653632
1.059117647,-0.001278291,-0.000142276,-0.008814334,0.003668575,0.003668575
1.059529412,-0.011284651,-0.009523221,-0.010690534,0.008046349,0.008046349
